Cell type,Gene
Naive CD8,SMPD1
Naive CD8,SNHG28
Naive CD8,SNORA5C
Naive CD8,SNTG2
Naive CD8,SOAT2
Naive CD8,SPAG8
Naive CD8,SPATA6L
Naive CD8,SPEG
Naive CD8,SPINK2
Naive CD8,SREBF1
Naive CD8,SSTR3
Naive CD8,STXBP1
Naive CD8,SUCLG2-AS1
Naive CD8,TBXA2R
Naive CD8,TCEAL2
Naive CD8,THEMIS
Naive CD8,THNSL1
Naive CD8,TMEM198B
Naive CD8,TMEM220
Naive CD8,TMEM254-AS1
Naive CD8,TMEM41B
Naive CD8,TNK1
Naive CD8,TNNT3
Naive CD8,TSNAXIP1
Naive CD8,TXNRD3
Naive CD8,USP11
Naive CD8,USP44
Naive CD8,VPS9D1-AS1
Naive CD8,WHAMMP2
Naive CD8,Z82206.1
Naive CD8,ZBED3
Naive CD8,ZBED3-AS1
Naive CD8,ZBED9
Naive CD8,ZFP69B
Naive CD8,ZKSCAN7
Naive CD8,ZNF391
Naive CD8,ZNF496
Naive CD8,ZNF497
Naive CD8,ZNF609
Naive CD8,ZNF662
Naive CD8,ZNF69
Naive CD8,ZSCAN23
CM CD8,AC008083.2
CM CD8,C16orf45
CM CD8,CYP4F12
CM CD8,DKK3
CM CD8,ITGA1
CM CD8,LINC00824
CM CD8,LINC01934
CM CD8,LPAR3
CM CD8,MAP6D1
CM CD8,MCOLN3
CM CD8,RDM1
CM CD8,TMPRSS4-AS1
EM CD8,A2M
EM CD8,A2M-AS1
EM CD8,A2MP1
EM CD8,AC007342.1
EM CD8,AC010175.1
EM CD8,AC015849.1
EM CD8,AC020659.1
EM CD8,AC034238.1
EM CD8,AC092112.1
EM CD8,AC093311.1
EM CD8,AC243829.1
EM CD8,AC244157.2
EM CD8,AGAP1
EM CD8,BTG1P1
EM CD8,CCR5
EM CD8,COL5A1
EM CD8,CXCR6
EM CD8,CYTH3
EM CD8,EAF1-AS1
EM CD8,FLT4
EM CD8,GFPT2
EM CD8,GZMK
EM CD8,HNRNPA1P34
EM CD8,IL23R
EM CD8,KLRG1
EM CD8,LAG3
EM CD8,LINC00612
EM CD8,LINC01644
EM CD8,LINC01871
EM CD8,LYAR
EM CD8,ME1
EM CD8,MMP24
EM CD8,NCR3LG1
EM CD8,NCS1
EM CD8,NEO1
EM CD8,NTN4
EM CD8,PARP8
EM CD8,PARVA
EM CD8,PDCD1
EM CD8,PLEKHA5
EM CD8,PLPP2
EM CD8,PRR5
EM CD8,PRSS35
EM CD8,PZP
EM CD8,RAB6B
EM CD8,ROR2
EM CD8,SCART1
EM CD8,SLC27A2
EM CD8,SLC4A10
EM CD8,SLF1
EM CD8,TMEM155
EM CD8,TMEM171
EM CD8,TNIP3
EM CD8,TRAV1-2
EM CD8,TRBV6-4
EM CD8,UBE2Q2P1
EM CD8,UBXN10
EM CD8,UNC45B
EM CD8,VDAC2P2
EM CD8,WHRN
EM CD8,WNT1
TEMRA CD8,ABHD17C
TEMRA CD8,AC005183.1
TEMRA CD8,AC022075.1
TEMRA CD8,AC103702.2
TEMRA CD8,AC116348.3
TEMRA CD8,AC243829.2
TEMRA CD8,AC244196.3
TEMRA CD8,AC244472.4
TEMRA CD8,ADIPOR2
TEMRA CD8,AL035701.1
TEMRA CD8,AL158071.2
TEMRA CD8,AMPH
TEMRA CD8,ANKRD35
TEMRA CD8,ATL1
TEMRA CD8,ATP1A3
TEMRA CD8,C8G
TEMRA CD8,CCL4L2
TEMRA CD8,CCL5
TEMRA CD8,CD8A
TEMRA CD8,CMC1
TEMRA CD8,COL6A2
TEMRA CD8,DGKQ
TEMRA CD8,DUSP2
TEMRA CD8,DUSP8
TEMRA CD8,EOMES
TEMRA CD8,F8
TEMRA CD8,FAM131B
TEMRA CD8,FCRL6
TEMRA CD8,FOXD2
TEMRA CD8,FRMPD3
TEMRA CD8,GAB3
TEMRA CD8,GATA6
TEMRA CD8,GFI1
TEMRA CD8,GLB1L2
TEMRA CD8,GNAO1
TEMRA CD8,GZMH
TEMRA CD8,GZMM
TEMRA CD8,HCST
TEMRA CD8,HEATR9
TEMRA CD8,IFNG
TEMRA CD8,ITGAD
TEMRA CD8,JAKMIP2
TEMRA CD8,KIAA1671
TEMRA CD8,KIF19
TEMRA CD8,KIF21A
TEMRA CD8,KLHL4
TEMRA CD8,KLRA1P
TEMRA CD8,KLRC4
TEMRA CD8,LINC00943
TEMRA CD8,LINC00944
TEMRA CD8,LINC02084
TEMRA CD8,LINC02086
TEMRA CD8,MARK4
TEMRA CD8,MRPL10
TEMRA CD8,MSC
TEMRA CD8,MSC-AS1
TEMRA CD8,MVB12B
TEMRA CD8,MYO3B
TEMRA CD8,MYO6
TEMRA CD8,MYRF
TEMRA CD8,NAPB
TEMRA CD8,PATL2
TEMRA CD8,PCAT29
TEMRA CD8,PPP1R14C
TEMRA CD8,PPP2R2B
TEMRA CD8,PTPRM
TEMRA CD8,PTRH1
TEMRA CD8,RASGEF1A
TEMRA CD8,RCAN2
TEMRA CD8,SCN8A
TEMRA CD8,SESN2
TEMRA CD8,SGCD
TEMRA CD8,SLC35G2
TEMRA CD8,SLC4A4
TEMRA CD8,SOX13
TEMRA CD8,STYK1
TEMRA CD8,SYNM
TEMRA CD8,TBKBP1
TEMRA CD8,TFCP2L1
TEMRA CD8,TMEM255A
TEMRA CD8,TPRG1
TEMRA CD8,TRAV14DV4
TEMRA CD8,TRAV21
TEMRA CD8,TRBV10-2
TEMRA CD8,TRBV28
TEMRA CD8,TRDV1
TEMRA CD8,TRG-AS1
TEMRA CD8,TRGC2
TEMRA CD8,TRGJ2
TEMRA CD8,TRGV10
TEMRA CD8,TRGV2
TEMRA CD8,TRGV3
TEMRA CD8,TRGV4
TEMRA CD8,TRGV5
TEMRA CD8,TRGV7
TEMRA CD8,TRGV8
TEMRA CD8,TRGV9
TEMRA CD8,TTC16
TEMRA CD8,TUBB4A
TEMRA CD8,VCAM1
TEMRA CD8,WDR63
TEMRA CD8,XPNPEP2
TEMRA CD8,ZNF683
TEMRA CD8,ZNF80
TEMRA CD8,ZNF853
NK,ABALON
NK,ABCA3
NK,ABCB1
NK,ABHD17A
NK,ABHD17AP6
NK,AC004865.2
NK,AC005831.1
NK,AC005972.1
NK,AC006033.2
NK,AC006449.6
NK,AC007278.1
NK,AC008035.1
NK,AC009495.3
NK,AC009779.2
NK,AC011476.3
NK,AC015921.1
NK,AC016757.1
NK,AC017100.1
NK,AC018450.1
NK,AC018552.3
NK,AC018797.2
NK,AC063977.6
NK,AC090152.1
NK,AC092535.4
NK,AC093567.1
NK,AC104958.2
NK,AC132938.5
NK,AC135983.3
NK,AC243312.1
NK,AC244502.1
NK,AC245297.3
NK,ACAA2
NK,ACBD5
NK,ACOT4
NK,ADAMTS1
NK,ADAMTS10
NK,ADCY9
NK,ADGRB2
NK,ADGRG1
NK,ADRB2
NK,AF165147.1
NK,AGK
NK,AGPAT4
NK,AGPAT4-IT1
NK,AKAP5
NK,AKR1C3
NK,AL023653.1
NK,AL031283.1
NK,AL031846.1
NK,AL135818.1
NK,AL355581.1
NK,AL358333.2
NK,AL365475.1
NK,AL592295.4
NK,AL731571.1
NK,ALOX12P2
NK,AMOT
NK,AMOTL1
NK,AMZ2P1
NK,ANKRD20A11P
NK,AP000786.1
NK,AP001972.5
NK,AP005482.1
NK,APMAP
NK,APOBEC3G
NK,APOL1
NK,ARHGAP8
NK,ARHGEF28
NK,ARHGEF9
NK,ARID5A
NK,ARVCF
NK,ASCL2
NK,ATP8B4
NK,ATP9A
NK,AUTS2
NK,AXIN1
NK,B3GAT1
NK,B4GALNT3
NK,B4GALT6
NK,BAALC
NK,BCL2L1
NK,BFSP1
NK,BHLHE40
NK,BNC2
NK,BOK
NK,BPGM
NK,BX322639.1
NK,C19orf57
NK,C19orf84
NK,C1orf174
NK,C1orf21
NK,C2orf48
NK,C2orf76
NK,C5orf56
NK,C9orf172
NK,CACNA2D2
NK,CAPN5
NK,CARMIL3
NK,CCDC114
NK,CCDC28B
NK,CCL3
NK,CCL4
NK,CCNB3
NK,CCND3
NK,CD160
NK,CD226
NK,CD244
NK,CD247
NK,CD2BP2
NK,CD63
NK,CD7
NK,CDHR1
NK,CELSR2
NK,CEP126
NK,CEP78
NK,CERCAM
NK,CHRNE
NK,CHST12
NK,CHST14
NK,CHST2
NK,CISD3
NK,CLASP1
NK,CLDND2
NK,CLEC12A-AS1
NK,CLSTN3
NK,CMTR2
NK,COL13A1
NK,COLGALT2
NK,COLQ
NK,COPZ2
NK,CRAMP1
NK,CREM
NK,CST7
NK,CTAGE5
NK,CTBP1-AS
NK,CTBP2
NK,CTSW
NK,CX3CR1
NK,CYP4F29P
NK,DDIT4
NK,DGKK
NK,DHCR24
NK,DHRS3
NK,DIP2A
NK,DLG5
NK,DMKN
NK,DNAH10
NK,DNAH10OS
NK,DOC2GP
NK,DOK6
NK,DRAXIN
NK,DTHD1
NK,EBF4
NK,EBP
NK,EFHC2
NK,EFHD2
NK,EFNA5
NK,EIF4A2P1
NK,ELOVL6
NK,ENPP4
NK,ENPP5
NK,EPB41L4A
NK,EPHX4
NK,ERBB2
NK,ERFE
NK,ERICH6-AS1
NK,ERMP1
NK,F2R
NK,FAM182B
NK,FAM199X
NK,FAR2P2
NK,FASLG
NK,FAT4
NK,FBXO6
NK,FBXW4P1
NK,FCRLB
NK,FEZ1
NK,FGFBP2
NK,FHAD1
NK,FP565260.7
NK,FSD1
NK,FSIP1
NK,FTH1P22
NK,FURIN
NK,FUT11
NK,GALC
NK,GAS1
NK,GFOD1
NK,GK5
NK,GLI3
NK,GNAL
NK,GNG2
NK,GNGT2
NK,GNLY
NK,GNPTAB
NK,GOLGA8N
NK,GOLM1
NK,GOT2P3
NK,GPR141
NK,GPR153
NK,GPR65
NK,GPR68
NK,GTF3C1
NK,GZMA
NK,HAVCR2
NK,HDDC2
NK,HDGFL3
NK,HEG1
NK,HELZ
NK,HENMT1
NK,HES6
NK,HEY2
NK,HIPK2
NK,HOPX
NK,HOXA10
NK,ID2
NK,IDI1
NK,IGFBP7
NK,IL12RB2
NK,IL18RAP
NK,IL2RB
NK,IRAK2
NK,IRF6
NK,ITGAL
NK,ITGAM
NK,ITPRIPL1
NK,JAG2
NK,JAK1
NK,KANK3
NK,KCTD10
NK,KIFC3
NK,KIR2DL1
NK,KIR2DL3
NK,KIR2DL4
NK,KIR2DP1
NK,KIR2DS4
NK,KIR3DL1
NK,KIR3DL2
NK,KIR3DX1
NK,KLHDC4
NK,KLRB1
NK,KLRC1
NK,KLRC2
NK,KLRC3
NK,KLRD1
NK,KLRF1
NK,KRT86
NK,LAIR2
NK,LANCL3
NK,LBX2-AS1
NK,LDB2
NK,LDLR
NK,LEXM
NK,LGALS9B
NK,LGALS9C
NK,LGR6
NK,LIM2
NK,LINC00092
NK,LINC00298
NK,LINC00299
NK,LINC00504
NK,LINC00672
NK,LINC00674
NK,LINC01146
NK,LINC01278
NK,LINC01451
NK,LINC01505
NK,LINC01597
NK,LINC01882
NK,LINGO2
NK,LIPC
NK,LLGL2
NK,LPAL2
NK,LPCAT1
NK,LRFN2
NK,LRRC37A16P
NK,LRRC43
NK,LRRC75B
NK,LTBP2
NK,MAP2K2
NK,MAPRE2
NK,MATK
NK,MC1R
NK,MCF2
NK,METRNL
NK,MEX3C
NK,MIB2
NK,MIR181A2HG
NK,MIR646HG
NK,MLC1
NK,MMP25-AS1
NK,MTMR9LP
NK,MVD
NK,MXRA7
NK,MYBL1
NK,MYOM2
NK,NAALADL1
NK,NAGLU
NK,NALT1
NK,NCALD
NK,NCAM1
NK,NCR1
NK,NCR3
NK,NEIL1
NK,NFATC2
NK,NFKBIB
NK,NINL
NK,NKG7
NK,NMUR1
NK,NPRL2
NK,NPTX1
NK,NRAV
NK,NUAK1
NK,NUDT11
NK,OSBPL5
NK,OSCP1
NK,P3H4
NK,PAK6
NK,PALLD
NK,PAM
NK,PCDH1
NK,PCDHGB5
NK,PCDHGB6
NK,PCNX3
NK,PCNX4
NK,PCOLCE
NK,PDE4A
NK,PDE6G
NK,PDGFD
NK,PDGFRB
NK,PDZD4
NK,PEX11A
NK,PGM1
NK,PHLDB2
NK,PI4K2A
NK,PLEKHF1
NK,PLEKHG3
NK,PODN
NK,PPP5C
NK,PRF1
NK,PROCR
NK,PROX2
NK,PRR5L
NK,PRSS23
NK,PRSS30P
NK,PRSS57
NK,PTCH1
NK,PTGDR
NK,PTPN12
NK,PTPN4
NK,PTPRA
NK,PTPRB
NK,PYHIN1
NK,PYROXD2
NK,RAB27B
NK,RAB9A
NK,RAI14
NK,RAMP1
NK,RANBP17
NK,RAP1B
NK,RAP1GAP2
NK,RASSF1
NK,RASSF1-AS1
NK,RBFOX2
NK,RGS17
NK,RGS3
NK,RGS9
NK,RHOBTB3
NK,RMDN3
NK,RNF165
NK,RPL10P12
NK,RRM2P3
NK,RUNX3
NK,S1PR5
NK,SACM1L
NK,SAMD3
NK,SASH3
NK,SCD5
NK,SDF4
NK,SERPINE1
NK,SETD3
NK,SGSM1
NK,SH2D1B
NK,SH2D2A
NK,SIGLEC17P
NK,SIGLEC7
NK,SLC1A7
NK,SLC25A20
NK,SLCO4C1
NK,SLFN13
NK,SMAD7
NK,SMKR1
NK,SMPD4P1
NK,SNORA70G
NK,SNTB2
NK,SORBS2
NK,SPIN4
NK,SPIRE2
NK,SPON2
NK,SPRY2
NK,SPTLC3
NK,SPTSSB
NK,SRSF12
NK,SSBP3
NK,SSH1
NK,SSX2IP
NK,ST5
NK,ST8SIA6
NK,STARD3NL
NK,STARD4
NK,STAU2
NK,STK26
NK,STOM
NK,SYAP1
NK,SYNGR1
NK,SYNGR3
NK,SYTL2
NK,SYTL3
NK,TAPBPL
NK,TBC1D31
NK,TBX21
NK,TCF25
NK,TES
NK,TFAP2E
NK,TFDP2
NK,TGFBR1
NK,TGFBR3
NK,TIE1
NK,TKTL1
NK,TM4SF19
NK,TMC4
NK,TMEM181
NK,TNFRSF11A
NK,TOGARAM2
NK,TPST2
NK,TRAPPC10
NK,TRBJ2-1
NK,TRBJ2-2P
NK,TRBJ2-3
NK,TRDC
NK,TRDD3
NK,TRDJ1
NK,TRDJ2
NK,TRDJ3
NK,TRDJ4
NK,TRGC1
NK,TRGJP
NK,TRGJP1
NK,TRGJP2
NK,TRGV5P
NK,TRIM17
NK,TRPC3
NK,TRPV3
NK,TSPOAP1
NK,TTC22
NK,TTC38
NK,TXK
NK,UBE2F
NK,UCHL5
NK,UCP3
NK,UEVLD
NK,USP28
NK,USP43
NK,VANGL1
NK,VIT
NK,VPS16
NK,VPS26A
NK,VSTM4
NK,WHAMMP3
NK,XCL1
NK,XCL2
NK,YES1
NK,YPEL1
NK,ZBTB16
NK,ZCCHC17
NK,ZFPM1
NK,ZMAT4
NK,ZMYND10
NK,ZNF28
NK,ZNF319
NK,ZNF595
NK,ZNF600
NK,ZNF625
NK,ZNF660
NK,ZNF668
NK,ZNF876P
Naive B,AASS
Naive B,ABCB4
Naive B,AC002480.1
Naive B,AC002480.2
Naive B,AC004148.2
Naive B,AC004584.3
Naive B,AC004706.3
Naive B,AC004982.1
Naive B,AC004982.2
Naive B,AC005498.3
Naive B,AC006213.2
Naive B,AC007014.2
Naive B,AC007216.1
Naive B,AC007384.1
Naive B,AC007569.1
Naive B,AC007601.1
Naive B,AC007622.2
Naive B,AC008395.1
Naive B,AC008669.1
Naive B,AC008758.3
Naive B,AC008969.1
Naive B,AC009686.1
Naive B,AC009690.2
Naive B,AC010168.2
Naive B,AC010733.1
Naive B,AC011416.4
Naive B,AC011450.1
Naive B,AC011479.3
Naive B,AC011773.1
Naive B,AC015987.1
Naive B,AC016708.1
Naive B,AC018695.6
Naive B,AC019197.1
Naive B,AC020661.4
Naive B,AC020951.1
Naive B,AC022182.2
Naive B,AC023389.2
Naive B,AC024568.1
Naive B,AC025031.4
Naive B,AC025164.2
Naive B,AC027097.1
Naive B,AC027097.2
Naive B,AC027279.1
Naive B,AC027290.2
Naive B,AC060780.1
Naive B,AC062029.1
Naive B,AC064807.1
Naive B,AC067852.6
Naive B,AC068189.1
Naive B,AC078795.1
Naive B,AC090181.3
Naive B,AC091045.1
Naive B,AC091493.1
Naive B,AC092068.3
Naive B,AC092070.2
Naive B,AC092140.1
Naive B,AC093157.1
Naive B,AC093627.5
Naive B,AC093890.1
Naive B,AC096720.2
Naive B,AC099524.1
Naive B,AC103831.1
Naive B,AC104971.4
Naive B,AC106791.1
Naive B,AC107375.1
Naive B,AC107884.1
Naive B,AC108449.2
Naive B,AC108879.1
Naive B,AC116535.1
Naive B,AC120193.1
Naive B,AC121761.1
Naive B,AC123023.1
Naive B,AC133065.2
Naive B,AC133065.4
Naive B,AC133065.6
Naive B,AC136424.1
Naive B,AC211433.1
Naive B,AC239868.2
Naive B,AC242426.3
Naive B,AC245060.2
Naive B,AC245060.4
Naive B,AC245060.5
Naive B,AC245060.6
Naive B,AC246787.2
Naive B,ACSM1
Naive B,ACSM3
Naive B,ADAM19
Naive B,ADAM28
Naive B,ADARB1
Naive B,ADK
Naive B,AF117829.1
Naive B,AFF3
Naive B,AFF4
Naive B,AFG3L1P
Naive B,AGBL2
Naive B,AGPAT5
Naive B,AIDA
Naive B,AK9
Naive B,AKAP6
Naive B,AL031733.2
Naive B,AL049844.2
Naive B,AL118506.1
Naive B,AL121787.1
Naive B,AL121820.1
Naive B,AL121985.3
Naive B,AL137796.1
Naive B,AL138720.1
Naive B,AL139020.1
Naive B,AL157402.1
Naive B,AL158211.5
Naive B,AL161781.2
Naive B,AL355388.2
Naive B,AL357054.4
Naive B,AL357140.2
Naive B,AL357153.1
Naive B,AL357874.2
Naive B,AL390208.1
Naive B,AL392172.1
Naive B,AL445472.1
Naive B,AL449283.1
Naive B,AL450998.3
Naive B,AL512306.3
Naive B,AL512625.1
Naive B,AL592148.3
Naive B,ANGPT2
Naive B,ANKAR
Naive B,ANKRD10-IT1
Naive B,ANKRD44-IT1
Naive B,AP001056.1
Naive B,AP001636.3
Naive B,AP002075.1
Naive B,AP003068.2
Naive B,AP003168.2
Naive B,AP004609.1
Naive B,AP004609.3
Naive B,AP3B1
Naive B,APBB2
Naive B,APOBEC3F
Naive B,APPL1
Naive B,ARHGEF7
Naive B,ASB14
Naive B,ASH2LP1
Naive B,ATF7IP
Naive B,ATP10D
Naive B,ATP8B1
Naive B,BACH2
Naive B,BCL7A
Naive B,BEND5
Naive B,BIRC3
Naive B,BLCAP
Naive B,BLOC1S2
Naive B,BMP3
Naive B,BRAF
Naive B,BTBD6P1
Naive B,BTLA
Naive B,BTN2A2
Naive B,BX284668.4
Naive B,BX539320.1
Naive B,C12orf42
Naive B,C14orf93
Naive B,C16orf74
Naive B,C17orf100
Naive B,C1orf220
Naive B,C8orf37
Naive B,CABYR
Naive B,CACNA1F
Naive B,CAMK2D
Naive B,CCDC106
Naive B,CCDC18
Naive B,CCDC191
Naive B,CCDC62
Naive B,CCDC80
Naive B,CD19
Naive B,CD1A
Naive B,CD200
Naive B,CD22
Naive B,CD27-AS1
Naive B,CD37
Naive B,CD40
Naive B,CD72
Naive B,CD79B
Naive B,CD83
Naive B,CDCA7L
Naive B,CHI3L2
Naive B,CHL1
Naive B,CHML
Naive B,CHPT1
Naive B,CLCN4
Naive B,CLCN6
Naive B,CLEC17A
Naive B,CNTNAP2
Naive B,COA1
Naive B,COL19A1
Naive B,CORO2B
Naive B,CP
Naive B,CR2
Naive B,CSNK1G3
Naive B,CTGF
Naive B,CXCR4
Naive B,CXCR5
Naive B,CYB5A
Naive B,DAZL
Naive B,DBNDD1
Naive B,DGKD
Naive B,DIRAS1
Naive B,DISP1
Naive B,DMXL1
Naive B,DNAH11
Naive B,DSP
Naive B,DTNBP1
Naive B,DTX4
Naive B,EBLN3P
Naive B,EEF1A1P10
Naive B,EFCAB13
Naive B,EFCAB5
Naive B,ELL3
Naive B,EMC3-AS1
Naive B,ENAH
Naive B,EPB41L2
Naive B,EPM2A
Naive B,ESAM
Naive B,FADS3
Naive B,FAM111B
Naive B,FAM126A
Naive B,FAM177B
Naive B,FAM218A
Naive B,FAM53B
Naive B,FAM53B-AS1
Naive B,FAM69B
Naive B,FANCB
Naive B,FBXL4
Naive B,FCER2
Naive B,FCRL1
Naive B,FLT1
Naive B,FMO5
Naive B,FNDC11
Naive B,FOXP1-IT1
Naive B,FP565260.3
Naive B,GABPB1-AS1
Naive B,GAPDHP42
Naive B,GAS8
Naive B,GATS
Naive B,GCNT1
Naive B,GLYATL1P1
Naive B,GLYATL1P3
Naive B,GLYATL1P4
Naive B,GMFB
Naive B,GPR137
Naive B,GPR160
Naive B,GUCD1
Naive B,HECTD4
Naive B,HILPDA
Naive B,HIP1R
Naive B,HIRA
Naive B,HLA-DOA
Naive B,HLA-DOB
Naive B,HMBOX1
Naive B,HMGB1P3
Naive B,HMGN2P46
Naive B,HS2ST1
Naive B,HS3ST1
Naive B,HSPA4
Naive B,HVCN1
Naive B,ICOSLG
Naive B,IGFBP4
Naive B,IGHD
Naive B,IGHD3-22
Naive B,IGHD3-9
Naive B,IGHV5-78
Naive B,IL4R
Naive B,IL9RP3
Naive B,ING3
Naive B,INO80
Naive B,ITPR1
Naive B,JAM2
Naive B,KANSL1L
Naive B,KBTBD8
Naive B,KCNG1
Naive B,KCNH8
Naive B,KCNIP2
Naive B,KCNMB3
Naive B,KCNRG
Naive B,KHDRBS2
Naive B,KMO
Naive B,L3MBTL4
Naive B,LARGE-AS1
Naive B,LARGE1
Naive B,LARGE2
Naive B,LCN10
Naive B,LCN8
Naive B,LGR4
Naive B,LIG4
Naive B,LINC00624
Naive B,LINC00665
Naive B,LINC00854
Naive B,LINC00910
Naive B,LINC00926
Naive B,LINC01004
Naive B,LINC01013
Naive B,LINC01023
Naive B,LINC01215
Naive B,LINC01480
Naive B,LINC01535
Naive B,LINC01572
Naive B,LINC01800
Naive B,LINC02397
Naive B,LINC02427
Naive B,LINGO3
Naive B,LIX1
Naive B,LIX1-AS1
Naive B,LPP-AS2
Naive B,LRCH1
Naive B,LRRC46
Naive B,LSM10
Naive B,MACROD2
Naive B,MAP3K8
Naive B,MAP3K9
Naive B,MARCH3
Naive B,MCPH1-AS1
Naive B,MDM4
Naive B,MED14
Naive B,MED22
Naive B,MEF2C
Naive B,MFN1
Naive B,MGAT5
Naive B,MICAL3
Naive B,MIR5195
Naive B,MIR600HG
Naive B,MMP17
Naive B,MOB3B
Naive B,MORF4L2-AS1
Naive B,MPRIP-AS1
Naive B,MRPL35P3
Naive B,MYBPC2
Naive B,MYO1B
Naive B,MYO7B
Naive B,MYOT
Naive B,MYZAP
Naive B,NEK8
Naive B,NETO1
Naive B,NFKB2
Naive B,NIPAL4
Naive B,NONOP2
Naive B,NPIPB11
Naive B,NPM1P37
Naive B,NSUN5
Naive B,NT5C3A
Naive B,NUP88
Naive B,OLFML1
Naive B,OTUD1
Naive B,P2RY10
Naive B,PA2G4P4
Naive B,PAIP2B
Naive B,PAN3-AS1
Naive B,PAPOLA
Naive B,PART1
Naive B,PAWR
Naive B,PAX5
Naive B,PCDH9
Naive B,PDE7B
Naive B,PEG10
Naive B,PEX11G
Naive B,PGAM1P7
Naive B,PIK3C2B
Naive B,PKD2L2
Naive B,PKIG
Naive B,PLCE1
Naive B,PLEKHA2
Naive B,PLEKHA3P1
Naive B,PLEKHF2
Naive B,PLPP5
Naive B,PNPLA7
Naive B,POLD4
Naive B,PPFIBP1
Naive B,PPIL6
Naive B,PPP1R26P1
Naive B,PRCD
Naive B,PRICKLE1
Naive B,PRKCE
Naive B,PRUNE2
Naive B,PSD3
Naive B,PTK2B
Naive B,PTPRK
Naive B,PYCR3
Naive B,QSOX2
Naive B,RAB30
Naive B,RAB9B
Naive B,RABEP1
Naive B,RABEP2
Naive B,RABGEF1
Naive B,RAD23B
Naive B,RAPGEF5
Naive B,RASAL2
Naive B,RBM4B
Naive B,REL
Naive B,RIOK3
Naive B,RLIMP1
Naive B,RMI2
Naive B,RN7SKP110
Naive B,RN7SL683P
Naive B,RN7SL834P
Naive B,RNASEH2B-AS1
Naive B,RP9
Naive B,RP9P
Naive B,RPAIN
Naive B,RPAP3
Naive B,RPL18P10
Naive B,RPL31P11
Naive B,RPL3P1
Naive B,RPRD1A
Naive B,RPSAP1
Naive B,RUNDC1
Naive B,SAV1
Naive B,SAXO2
Naive B,SCN3A
Naive B,SCN4A
Naive B,SDAD1P1
Naive B,SDK2
Naive B,SEC62
Naive B,SECISBP2L
Naive B,SERPINB9P1
Naive B,SESTD1
Naive B,SETX
Naive B,SGCE
Naive B,SGMS1-AS1
Naive B,SGO1
Naive B,SIAH2
Naive B,SIPA1L3
Naive B,SLC15A2
Naive B,SLC2A5
Naive B,SLC30A4
Naive B,SLC38A11
Naive B,SLC50A1
Naive B,SLC9A7
Naive B,SLC9C1
Naive B,SMPD2
Naive B,SNHG7
Naive B,SNX22
Naive B,SNX29
Naive B,SNX29P1
Naive B,SNX29P2
Naive B,SOBP
Naive B,SOCS5
Naive B,SP100
Naive B,SP140L
Naive B,SPPL2B
Naive B,SPRY1
Naive B,SSBP2
Naive B,ST6GALNAC3
Naive B,STAG3
Naive B,STAP1
Naive B,STEAP1B
Naive B,STRADB
Naive B,STRBP
Naive B,STX7
Naive B,SYCP3
Naive B,SYN3
Naive B,SYT17
Naive B,TAF1A
Naive B,TAPT1
Naive B,TAPT1-AS1
Naive B,TBC1D16
Naive B,TBC1D22A-AS1
Naive B,TCL1A
Naive B,TCL1B
Naive B,TCL6
Naive B,TCTN1
Naive B,THAP5
Naive B,THNSL2
Naive B,THRAP3
Naive B,THRB
Naive B,TIMELESS
Naive B,TIMP3
Naive B,TMEM220-AS1
Naive B,TMEM241
Naive B,TMEM38A
Naive B,TNFRSF13C
Naive B,TPST1
Naive B,TRIM13
Naive B,TRIM58
Naive B,TUBB3
Naive B,TUNAR
Naive B,U62631.1
Naive B,UACA
Naive B,UBE2O
Naive B,UGT8
Naive B,USF3
Naive B,USP12
Naive B,USP6
Naive B,USP8
Naive B,UTP6
Naive B,VAV3
Naive B,VAV3-AS1
Naive B,VCPKMT
Naive B,VN1R1
Naive B,VPREB3
Naive B,WASIR2
Naive B,WDR19
Naive B,WDSUB1
Naive B,XKRX
Naive B,YBX3
Naive B,ZBED5
Naive B,ZBTB26
Naive B,ZCCHC10
Naive B,ZCCHC18
Naive B,ZCCHC7
Naive B,ZDHHC19
Naive B,ZDHHC23
Naive B,ZFP3
Naive B,ZHX3
Naive B,ZIK1
Naive B,ZNF107
Naive B,ZNF112
Naive B,ZNF135
Naive B,ZNF154
Naive B,ZNF165
Naive B,ZNF229
Naive B,ZNF233
Naive B,ZNF273
Naive B,ZNF285
Naive B,ZNF300
Naive B,ZNF318
Naive B,ZNF395
Naive B,ZNF404
Naive B,ZNF415
Naive B,ZNF418
Naive B,ZNF471
Naive B,ZNF528-AS1
Naive B,ZNF572
Naive B,ZNF582-AS1
Naive B,ZNF606
Naive B,ZNF608
Naive B,ZNF610
Naive B,ZNF619
Naive B,ZNF665
Naive B,ZNF667
Naive B,ZNF667-AS1
Naive B,ZNF727
Naive B,ZNF772
Naive B,ZNF790-AS1
Naive B,ZNF85
Naive B,ZNF92
Naive B,ZSCAN30
USM B,AC005885.1
USM B,AC006058.1
USM B,AC010247.2
USM B,AC010768.2
USM B,AC025048.4
USM B,AC027601.1
USM B,AC073072.1
USM B,AC083949.1
USM B,AC107926.1
USM B,AC109446.3
USM B,AC113133.1
USM B,AC133065.1
USM B,AC133065.3
USM B,ADAM29
USM B,ADAMTS6
USM B,ADAMTS7P4
USM B,AL031710.2
USM B,AL078581.3
USM B,AL158850.1
USM B,AL159169.2
USM B,AL450344.2
