Cell type,Gene
Th17,PER3
Th17,PPARG
Th17,PRR29-AS1
Th17,PTPN13
Th17,RARG
Th17,REEP3
Th17,RHBDL1
Th17,RORC
Th17,RTN4RL1
Th17,SEMA6C
Th17,SLC17A3
Th17,SLC35G1
Th17,SMAP1
Th17,SOS1
Th17,SOS1-IT1
Th17,STON1
Th17,TANC1
Th17,THEM5
Th17,TNFRSF4
Th17,TPBG
Th17,TPO
Th17,TPPP
Th17,TRIM46
Th17,TSPAN15
Th17,TTC39C-AS1
Th17,USP10
Th17,USP46
Th17,VWDE
Th17,WDR86-AS1
Th17,ZDHHC11
Tfh,AC004585.1
Tfh,AC008771.1
Tfh,AC079336.5
Tfh,AL109914.1
Tfh,AP003716.1
Tfh,CALY
Tfh,CDK5R1
Tfh,CNNM1
Tfh,FAAH2
Tfh,FBXL8
Tfh,FGFR2
Tfh,GDF10
Tfh,IL21-AS1
Tfh,LIMS1
Tfh,LIMS1-AS1
Tfh,PGM5P2
Tfh,SGPP2
Tfh,SPON1
Tfh,ST8SIA1
Tfh,WWC1
Fr. I nTreg,AC008892.1
Fr. I nTreg,AC010654.1
Fr. I nTreg,AC016355.1
Fr. I nTreg,AC020656.2
Fr. I nTreg,AC025884.1
Fr. I nTreg,AC026362.2
Fr. I nTreg,AC079610.2
Fr. I nTreg,AC105429.1
Fr. I nTreg,AC133644.2
Fr. I nTreg,AL158210.1
Fr. I nTreg,ANKRD31
Fr. I nTreg,ARHGAP32
Fr. I nTreg,ARHGAP5-AS1
Fr. I nTreg,ATG9B
Fr. I nTreg,BCAR1
Fr. I nTreg,CDC14B
Fr. I nTreg,CEACAMP3
Fr. I nTreg,CITED4
Fr. I nTreg,COL11A2
Fr. I nTreg,CRB3
Fr. I nTreg,DCT
Fr. I nTreg,ENO1-AS1
Fr. I nTreg,ERRFI1
Fr. I nTreg,EXPH5
Fr. I nTreg,FAM92A
Fr. I nTreg,FANCC
Fr. I nTreg,FRMD6-AS1
Fr. I nTreg,FXYD2
Fr. I nTreg,GAL3ST4
Fr. I nTreg,GCNT4
Fr. I nTreg,GJB6
Fr. I nTreg,GLS2
Fr. I nTreg,GPA33
Fr. I nTreg,GRIK1
Fr. I nTreg,GSDMA
Fr. I nTreg,GTSCR1
Fr. I nTreg,HAVCR1
Fr. I nTreg,HPCAL4
Fr. I nTreg,HSBP1L1
Fr. I nTreg,HYKK
Fr. I nTreg,IKZF2
Fr. I nTreg,KALRN
Fr. I nTreg,KRT18
Fr. I nTreg,LAMC3
Fr. I nTreg,LAPTM4B
Fr. I nTreg,LDLRAD4-AS1
Fr. I nTreg,LINC00381
Fr. I nTreg,LINC00402
Fr. I nTreg,LINC01281
Fr. I nTreg,LINC01336
Fr. I nTreg,MEGF6
Fr. I nTreg,MLLT3
